file_name,backtracking_ms,forward_checking_ms,FC_DO_ms
Sudoku-s14c-alldiff.xml,32,87,176
Sudoku-s11c-alldiff.xml,17,41,320
Sudoku-s01a-alldiff.xml,4,9,29
Sudoku-s15a-alldiff.xml,13,17,47
Sudoku-s11b-alldiff.xml,27,17,120
Sudoku-s04a-alldiff.xml,23,15,994
Sudoku-s16-alldiff.xml,9,16,541
Sudoku-s12c-alldiff.xml,3,11,2147
Sudoku-s01c-alldiff.xml,6,13,11
Sudoku-s02a-alldiff.xml,4,15,42
Sudoku-s05c-alldiff.xml,7,8,31
Sudoku-s13b-alldiff.xml,1,8,16
Sudoku-s09b-alldiff.xml,87,10,64
Sudoku-s01b-alldiff.xml,1,6,4
Sudoku-s03b-alldiff.xml,7,8,28
Sudoku-s02c-alldiff.xml,5,13,18
Sudoku-s02b-alldiff.xml,2,12,41
Sudoku-s05b-alldiff.xml,3,8,238
Sudoku-s09c-alldiff.xml,338,10,15
Sudoku-s07b-alldiff.xml,154,10,23
Sudoku-s03c-alldiff.xml,2,7,24
Sudoku-s08b-alldiff.xml,8,9,11
Sudoku-s13c-alldiff.xml,1,4,11
Sudoku-s11a-alldiff.xml,25,8,28
Sudoku-s09a-alldiff.xml,16,10,60
Sudoku-s15c-alldiff.xml,30,9,30
Sudoku-s12b-alldiff.xml,4,7,5
Sudoku-s10a-alldiff.xml,2,6,4
Sudoku-s15b-alldiff.xml,11,8,93
Sudoku-s10b-alldiff.xml,1,5,36
Sudoku-s13a-alldiff.xml,1,7,5
Sudoku-s08c-alldiff.xml,7,10,57
Sudoku-s12a-alldiff.xml,3,18,114
Sudoku-s06b-alldiff.xml,1,5,4
Sudoku-s07a-alldiff.xml,15,7,17
Sudoku-s06a-alldiff.xml,0,4,2
Sudoku-s14a-alldiff.xml,2,7,9
Sudoku-s03a-alldiff.xml,1,6,23
Sudoku-s06c-alldiff.xml,0,4,2
Sudoku-s07c-alldiff.xml,12,8,18
Sudoku-s10c-alldiff.xml,0,5,6
Sudoku-s08a-alldiff.xml,7,9,124
Sudoku-s04c-alldiff.xml,0,6,177
Sudoku-s05a-alldiff.xml,1,6,354
Sudoku-s04b-alldiff.xml,1,7,14
Sudoku-s14b-alldiff.xml,1,6,7
